HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Ath Bilbao,Alaves,16,7,4,3,7,13,5,4,1,3,0,0,2,0,H
Sevilla,Celta,11,18,4,5,13,6,3,8,4,0,0,0,1,0,A
Las Palmas,Almeria,21,3,6,2,8,17,11,3,2,2,0,0,0,1,A
Villarreal,Valencia,13,14,7,7,12,12,6,2,5,1,0,0,0,0,H
Vallecano,Betis,8,11,4,1,22,16,4,8,4,4,0,0,1,0,H
Ath Madrid,Barcelona,12,9,3,5,15,9,7,3,3,1,1,0,0,1,A
Cadiz,Granada,13,10,5,2,17,14,5,2,2,4,0,0,0,0,H
Getafe,Sevilla,18,10,5,3,11,15,7,3,4,5,0,0,0,1,A
Almeria,Osasuna,12,6,5,4,12,14,6,1,3,2,0,0,0,2,A
Valencia,Mallorca,14,11,5,3,8,11,3,3,0,2,0,0,0,0,D
Barcelona,Las Palmas,14,8,2,0,11,9,6,1,5,1,0,1,0,0,H
Celta,Vallecano,13,8,0,2,12,16,3,2,3,3,0,0,0,0,D
Girona,Betis,9,7,5,4,13,14,5,4,3,4,0,0,1,1,H
Alaves,Sociedad,3,12,0,3,10,15,3,8,2,2,0,0,0,0,A
Real Madrid,Ath Bilbao,9,7,4,3,9,13,4,7,2,1,0,0,1,0,H
Villarreal,Ath Madrid,11,14,2,8,14,22,3,3,3,3,0,0,0,1,A
Granada,Valencia,13,6,3,2,20,15,5,4,3,1,0,0,0,0,A
Betis,Celta,15,12,3,5,7,10,6,5,1,0,0,0,0,0,H
Ath Madrid,Girona,17,12,4,5,18,12,2,0,3,2,0,0,2,1,H
Vallecano,Getafe,11,7,2,0,17,19,3,0,4,6,0,0,0,0,D
Mallorca,Real Madrid,6,16,2,9,18,7,4,2,2,1,0,0,0,0,A
Cadiz,Barcelona,14,12,3,2,17,15,8,4,3,3,0,0,0,1,A
Las Palmas,Sevilla,5,10,2,3,8,13,6,2,3,3,1,0,0,1,A
Granada,Alaves,9,8,3,3,16,11,1,5,3,2,0,0,2,0,H
Ath Bilbao,Villarreal,13,10,6,2,13,12,3,1,3,3,0,1,0,0,D
Sociedad,Almeria,17,7,4,3,16,8,5,1,2,2,1,0,1,1,D
Osasuna,Valencia,13,4,2,3,10,10,4,1,0,2,0,0,0,1,A
Ath Bilbao,Granada,17,5,6,0,11,15,11,4,4,2,0,0,1,1,D
Celta,Las Palmas,21,9,13,4,10,9,8,4,1,0,0,0,2,1,H
Vallecano,Osasuna,17,6,6,2,9,15,5,1,4,1,0,0,0,1,H
Valencia,Betis,8,12,5,6,18,10,7,6,2,3,0,0,0,1,A
Girona,Cadiz,10,12,5,5,11,14,2,4,1,2,0,0,2,0,H
Getafe,Sociedad,6,7,4,3,12,18,0,4,0,2,0,0,1,1,D
Almeria,Villarreal,24,11,5,3,10,16,5,2,3,4,1,0,1,1,A
Alaves,Ath Madrid,8,15,3,4,20,12,1,11,5,3,0,0,1,0,H
Real Madrid,Barcelona,14,14,8,6,11,12,2,8,3,2,0,0,1,1,H
Sevilla,Mallorca,11,8,4,6,10,8,4,4,0,2,0,0,0,0,H
Sociedad,Real Madrid,9,5,3,3,13,11,11,3,3,4,0,0,0,1,A
Las Palmas,Girona,10,6,5,3,12,10,4,2,1,3,0,0,0,1,A
Almeria,Getafe,21,8,11,5,15,31,9,2,5,4,1,0,1,1,A
Alaves,Celta,16,4,8,0,10,9,8,3,3,3,0,0,0,0,H
Ath Madrid,Ath Bilbao,8,7,3,1,16,15,3,5,3,2,0,0,1,1,H
Cadiz,Mallorca,10,9,2,2,14,21,3,1,3,2,0,0,0,1,D
Granada,Osasuna,12,11,4,2,17,5,0,6,4,0,0,0,1,0,H
Villarreal,Vallecano,15,20,7,4,15,8,3,6,2,1,0,0,1,0,H
Betis,Sevilla,15,10,5,1,9,20,4,6,3,5,0,0,1,0,D
Barcelona,Valencia,27,5,13,3,12,5,15,1,1,0,0,1,1,2,H
Getafe,Ath Bilbao,34,7,9,2,6,9,10,6,0,2,0,2,0,1,A
Sociedad,Las Palmas,9,7,4,1,12,11,7,2,2,1,0,0,2,0,H
Real Madrid,Cadiz,19,7,9,2,6,12,7,4,0,1,0,0,0,0,H
Girona,Barcelona,9,16,7,7,11,8,5,4,0,3,0,0,1,2,H
Mallorca,Ath Madrid,7,9,4,4,12,7,6,2,2,0,0,0,0,1,A
Osasuna,Betis,12,10,2,4,13,13,8,5,2,2,1,0,0,2,A
Celta,Villarreal,23,11,7,3,11,5,2,1,4,0,0,1,2,1,H
Valencia,Alaves,13,14,1,4,9,17,5,7,1,3,0,0,0,0,A
Sevilla,Granada,11,8,5,3,15,13,5,4,2,2,0,0,1,0,H
Vallecano,Almeria,27,7,10,2,17,15,9,2,3,2,0,0,0,1,A
Alaves,Girona,14,15,8,5,13,6,5,3,3,2,0,0,1,2,D
Mallorca,Las Palmas,7,7,2,1,18,10,2,2,6,2,0,0,1,0,H
Villarreal,Sevilla,25,8,7,4,12,14,10,1,3,5,0,0,1,2,H
Granada,Real Madrid,12,13,1,7,11,10,8,5,2,0,0,0,0,2,A
Ath Bilbao,Osasuna,15,13,6,3,9,14,8,6,2,4,0,0,0,1,D
Cadiz,Getafe,13,10,6,4,23,16,6,2,5,2,0,0,1,0,H
Ath Madrid,Celta,21,6,8,2,7,9,4,7,1,1,0,0,0,0,H
Valencia,Vallecano,13,12,5,1,14,21,6,3,1,2,0,0,0,0,D
Betis,Almeria,14,14,7,7,9,10,3,5,0,2,0,0,2,1,H
Barcelona,Sociedad,14,10,5,3,12,14,6,2,2,3,0,0,1,0,H
Osasuna,Mallorca,10,10,4,4,12,11,2,4,0,1,0,0,1,0,D
Real Madrid,Alaves,22,18,11,10,6,12,4,1,1,1,0,0,3,0,H
Girona,Villarreal,22,11,5,3,3,14,5,1,1,5,0,1,0,0,A
Sevilla,Cadiz,14,19,3,7,13,11,1,9,6,2,0,0,0,0,A
Vallecano,Granada,18,10,9,1,12,17,6,6,4,3,1,0,1,0,H
Celta,Ath Bilbao,10,7,4,2,15,14,2,3,2,0,0,0,0,1,H
Getafe,Ath Madrid,8,7,3,3,17,7,6,3,4,3,0,0,0,2,A
Las Palmas,Betis,16,6,9,4,9,12,4,8,2,1,0,0,1,1,D
Almeria,Barcelona,12,16,3,7,9,11,4,7,0,1,0,0,0,1,A
Sociedad,Valencia,10,7,5,3,11,13,3,3,0,2,0,0,1,0,H
Alaves,Getafe,9,10,2,4,13,27,2,1,5,7,0,1,1,0,H
Ath Bilbao,Sevilla,15,9,6,4,12,5,8,3,1,1,0,0,2,0,H
Ath Madrid,Osasuna,15,15,2,6,12,9,7,5,2,2,0,0,0,1,A
Barcelona,Vallecano,14,15,6,4,10,7,7,5,4,2,0,0,1,0,H
Betis,Sociedad,18,5,9,2,12,18,6,2,3,4,0,0,0,2,A
Cadiz,Las Palmas,10,9,3,1,13,12,5,3,3,1,1,0,0,0,D
Granada,Celta,11,8,3,5,15,12,10,2,2,1,0,0,0,0,A
Mallorca,Almeria,29,7,8,3,9,9,12,2,2,3,0,0,1,1,D
Valencia,Girona,20,18,6,5,10,8,5,4,2,0,0,0,0,1,A
Villarreal,Real Madrid,21,12,7,6,15,12,3,3,3,2,0,0,1,4,D
Girona,Granada,16,10,9,2,6,13,4,2,3,5,0,1,3,0,H
Osasuna,Villarreal,12,11,6,3,13,6,6,4,4,3,0,0,1,0,D
Sociedad,Ath Madrid,14,10,4,4,19,15,8,4,3,5,0,1,0,1,A
Almeria,Cadiz,27,12,12,4,4,9,1,4,2,2,0,0,0,1,H
Vallecano,Ath Bilbao,17,7,4,1,6,13,8,2,1,1,0,0,0,0,A
Real Madrid,Betis,13,11,5,3,8,11,4,5,2,1,0,0,0,0,D
Getafe,Mallorca,16,9,6,4,12,10,3,4,0,2,0,0,0,0,A
Celta,Valencia,9,12,4,1,17,18,2,2,0,0,0,0,0,1,D
Las Palmas,Alaves,10,14,4,4,16,10,2,6,2,1,0,0,0,0,D
Sevilla,Barcelona,15,11,6,6,11,9,6,5,2,1,0,0,1,1,A
Osasuna,Sevilla,12,10,5,3,16,9,5,2,5,3,0,0,1,1,H
Celta,Espanol,8,10,3,2,17,15,3,3,5,2,0,0,1,0,D
Valladolid,Villarreal,12,10,6,4,6,10,4,5,1,0,0,0,0,0,A
Barcelona,Vallecano,21,4,6,2,16,14,8,0,3,6,1,0,0,0,D
Cadiz,Sociedad,7,15,2,7,9,20,3,6,4,2,0,0,0,1,A
Valencia,Girona,17,5,2,1,18,14,4,4,2,3,1,0,1,0,H
Almeria,Real Madrid,10,29,6,15,11,4,2,15,3,1,0,0,1,0,A
Ath Bilbao,Mallorca,23,6,6,2,13,12,7,2,0,6,0,0,0,0,D
Getafe,Ath Madrid,10,12,0,5,14,19,3,6,2,1,0,0,0,1,A
Betis,Elche,17,4,8,2,10,18,8,4,3,6,0,1,2,0,H
Espanol,Vallecano,13,8,1,3,12,17,9,2,2,5,1,1,0,1,A
Sevilla,Valladolid,18,6,2,3,20,10,12,2,3,2,1,1,0,0,D
Osasuna,Cadiz,16,9,3,2,11,13,2,2,2,5,0,1,1,0,H
Mallorca,Betis,13,8,7,3,22,17,5,2,7,8,0,0,0,1,A
Celta,Real Madrid,15,16,2,7,12,8,2,2,2,2,0,0,1,2,A
Ath Bilbao,Valencia,12,10,2,0,11,15,6,3,5,2,0,0,1,0,H
Ath Madrid,Villarreal,13,19,5,5,8,11,5,6,2,3,1,0,0,0,A
Sociedad,Barcelona,10,15,5,7,16,9,3,6,2,1,0,0,1,1,A
Elche,Almeria,13,12,3,7,12,16,6,5,1,4,0,1,1,1,D
Girona,Getafe,12,7,6,3,16,18,5,2,3,6,0,1,1,0,H
Girona,Celta,11,11,3,6,16,13,2,4,2,1,0,0,0,0,A
Betis,Osasuna,7,12,1,2,9,21,2,4,0,3,1,0,1,0,H
Elche,Sociedad,12,9,5,5,13,18,4,6,3,3,0,0,0,1,A
Vallecano,Mallorca,15,9,0,4,11,18,7,3,1,3,0,0,0,1,A
Almeria,Sevilla,11,13,5,5,18,11,5,2,5,8,0,0,1,1,H
Getafe,Villarreal,8,11,2,6,11,19,1,4,1,5,0,0,0,0,D
Barcelona,Valladolid,24,8,9,3,9,8,14,4,0,3,0,0,2,0,H
Espanol,Real Madrid,15,19,4,6,15,12,7,7,0,0,1,0,1,1,A
Cadiz,Ath Bilbao,9,20,3,8,18,4,0,6,2,1,0,0,0,1,A
Valencia,Ath Madrid,12,13,2,7,15,17,6,2,4,3,0,0,0,0,A
Celta,Cadiz,9,7,5,0,13,23,2,2,1,2,0,0,0,0,H
Mallorca,Girona,10,10,4,4,23,9,6,3,4,2,0,0,0,0,D
Real Madrid,Betis,22,8,4,4,8,12,9,2,0,1,0,0,1,1,H
Sociedad,Ath Madrid,12,15,5,7,18,13,7,7,5,4,0,0,0,1,D
Sevilla,Barcelona,9,18,4,7,15,14,4,4,2,4,0,0,0,2,A
Osasuna,Vallecano,13,5,6,3,14,16,4,0,2,2,0,0,0,0,H
Ath Bilbao,Espanol,17,9,2,2,12,12,4,2,3,2,0,0,0,0,A
Villarreal,Elche,18,7,10,0,10,9,6,4,1,3,0,0,2,0,H
Valencia,Getafe,24,7,9,4,11,21,9,1,3,6,1,1,3,0,H
Valladolid,Almeria,14,12,6,1,11,20,2,8,1,6,0,0,0,0,H
Girona,Valladolid,14,14,5,4,11,15,3,12,0,2,0,0,1,1,H
Vallecano,Valencia,14,17,6,4,22,11,7,7,5,2,0,0,1,0,H
Espanol,Sevilla,19,11,5,7,11,14,9,3,3,5,0,1,1,3,A
Cadiz,Barcelona,6,16,0,8,12,13,5,6,1,2,0,0,0,0,A
Ath Madrid,Celta,10,14,4,3,11,6,4,7,2,3,0,0,1,0,H
Real Madrid,Mallorca,22,5,7,2,7,15,4,3,3,5,0,0,1,1,H
Elche,Ath Bilbao,9,16,2,8,15,9,5,5,3,0,0,0,0,4,A
Getafe,Sociedad,8,13,3,6,9,16,3,7,4,1,0,0,1,0,H
Betis,Villarreal,16,14,5,3,11,14,9,8,1,1,0,0,0,0,H
Almeria,Osasuna,7,15,2,4,4,9,5,10,0,2,0,0,0,1,A
Valladolid,Cadiz,18,7,6,1,12,19,8,2,1,4,0,0,0,0,A
Mallorca,Almeria,5,9,2,3,15,14,5,2,3,6,0,0,1,0,H
Barcelona,Elche,25,1,9,1,11,9,6,0,2,2,0,1,2,0,H
Valencia,Celta,14,6,7,2,18,23,5,4,3,2,0,1,1,0,H
Ath Bilbao,Vallecano,14,11,7,2,13,13,2,7,1,2,0,0,3,1,H
Osasuna,Getafe,12,10,4,4,15,15,8,1,7,3,1,1,0,1,A
Villarreal,Sevilla,17,12,7,1,15,12,6,4,1,5,0,0,0,1,D
Betis,Girona,9,8,3,3,9,8,2,4,0,3,0,0,1,1,H
Sociedad,Espanol,14,14,6,4,18,8,4,2,3,0,0,0,2,1,H
Ath Madrid,Real Madrid,12,6,5,3,15,16,8,1,4,2,1,0,0,2,A
Ath Bilbao,Almeria,17,8,4,2,17,8,11,2,1,3,0,0,2,0,H
Cadiz,Villarreal,10,14,2,6,13,8,6,5,2,3,1,0,0,0,D
Getafe,Valladolid,14,14,6,7,23,13,4,2,2,4,0,0,2,2,A
Sevilla,Ath Madrid,14,20,3,6,9,12,5,7,3,2,0,0,0,1,A
Mallorca,Barcelona,13,11,3,3,9,13,5,5,2,4,0,0,0,1,A
Espanol,Valencia,10,12,5,5,16,15,6,4,2,1,1,1,0,0,D
Celta,Betis,11,9,4,4,26,3,5,3,4,3,0,1,1,0,H
Girona,Sociedad,16,11,8,5,9,19,2,2,3,1,0,0,2,2,A
Real Madrid,Osasuna,22,8,4,2,9,13,10,2,1,2,0,1,1,0,D
Vallecano,Elche,15,5,6,2,5,19,13,3,1,8,0,0,1,1,H
Osasuna,Valencia,11,15,2,7,11,19,7,5,3,6,2,1,0,1,A
Almeria,Vallecano,10,12,4,4,22,12,7,6,4,2,1,0,3,0,H
Ath Madrid,Girona,13,11,7,4,12,13,8,3,3,1,0,0,1,0,H
Sevilla,Ath Bilbao,10,21,3,4,19,14,5,7,4,0,0,1,1,0,D
Getafe,Real Madrid,9,19,2,4,10,5,4,4,0,0,0,0,0,1,A
Valladolid,Betis,12,4,3,1,12,16,3,1,1,1,0,1,0,0,D
Cadiz,Espanol,8,9,3,6,13,12,8,3,4,4,0,0,1,0,D
Sociedad,Villarreal,17,5,5,1,21,18,9,3,5,3,0,0,1,0,H
Barcelona,Celta,13,14,5,3,16,9,6,3,2,4,0,0,1,0,H
Elche,Mallorca,7,11,2,4,12,17,5,7,4,5,1,1,1,0,D
Vallecano,Getafe,16,6,3,3,13,17,4,1,2,3,0,0,0,0,D
Girona,Cadiz,23,9,6,2,16,9,6,2,5,4,0,0,0,0,D
Valencia,Elche,20,8,8,6,14,19,6,1,3,6,0,0,2,1,D
Mallorca,Sevilla,9,4,5,1,17,15,1,3,2,3,0,0,0,0,A
Ath Bilbao,Ath Madrid,13,3,3,1,14,17,6,1,0,6,0,0,0,0,A
Celta,Sociedad,10,8,3,6,14,17,1,6,5,7,1,0,1,1,A
Real Madrid,Barcelona,8,18,4,5,11,14,2,3,2,2,0,0,2,0,H
Espanol,Valladolid,15,14,3,2,13,11,6,4,1,4,0,0,0,0,H
Betis,Almeria,15,12,6,5,6,7,9,3,1,1,0,0,1,0,H
Villarreal,Osasuna,12,14,9,3,14,23,8,4,2,6,0,0,1,0,H
Sevilla,Valencia,18,13,5,5,11,26,11,6,4,7,1,0,0,1,D
Getafe,Ath Bilbao,11,14,4,4,14,11,7,4,7,4,0,0,1,1,D
Ath Madrid,Vallecano,12,14,4,4,11,11,3,4,3,0,0,0,1,0,D
Cadiz,Betis,13,12,3,3,15,7,4,9,1,2,0,1,0,0,D
Valladolid,Celta,9,22,7,5,12,11,3,7,1,1,0,0,1,1,H
Sociedad,Mallorca,14,12,7,3,18,9,10,7,1,2,0,0,1,0,H
Elche,Real Madrid,10,10,3,7,14,10,8,2,1,1,0,0,0,1,A
Almeria,Girona,13,14,7,5,14,14,4,5,1,3,0,0,3,0,H
Osasuna,Espanol,17,5,5,3,17,15,9,2,1,2,0,0,0,0,H
Barcelona,Villarreal,16,5,5,1,18,11,8,0,0,1,0,0,3,0,H
Vallecano,Cadiz,28,3,11,0,13,12,10,1,1,4,1,2,2,0,H
Valladolid,Sociedad,9,20,2,2,19,14,4,10,2,3,0,0,1,0,H
Valencia,Mallorca,13,10,3,5,14,19,5,3,3,5,0,0,0,0,A
Real Madrid,Sevilla,18,9,6,2,9,12,4,3,1,4,0,0,1,0,H
Espanol,Elche,13,9,5,4,13,10,5,3,2,3,0,0,1,1,D
Betis,Ath Madrid,17,9,4,3,10,17,7,4,2,3,0,0,0,0,A
Girona,Osasuna,7,9,1,2,11,11,3,5,2,3,0,0,1,1,D
Villarreal,Almeria,11,15,5,4,7,8,10,4,4,1,1,0,0,1,H
Barcelona,Ath Bilbao,10,5,7,3,7,13,1,2,2,2,0,0,3,0,H
Celta,Getafe,17,4,5,1,10,13,10,0,1,1,0,0,0,1,D
Mallorca,Espanol,12,7,5,2,15,9,4,4,4,1,0,0,0,0,D
Almeria,Celta,19,8,5,3,10,7,6,4,4,0,0,1,0,1,H
Cadiz,Ath Madrid,10,15,7,7,15,12,5,3,2,4,0,0,1,0,H
Sevilla,Vallecano,10,15,4,5,9,20,6,6,6,1,0,0,0,0,A
Valencia,Barcelona,3,13,2,2,13,7,3,10,4,5,0,0,0,0,A
Osasuna,Valladolid,20,7,10,2,14,16,1,8,1,3,0,0,2,0,H
Real Madrid,Girona,19,8,6,2,16,8,7,1,3,3,1,0,0,0,D
Ath Bilbao,Villarreal,19,6,7,3,12,10,6,2,2,1,0,0,0,0,H
Sociedad,Betis,14,10,7,4,22,16,5,3,4,4,0,0,0,0,A
Elche,Getafe,12,8,5,3,12,11,6,2,0,3,0,1,0,0,A
Girona,Ath Bilbao,19,11,10,7,11,11,7,1,1,1,0,0,0,0,H
Getafe,Cadiz,13,15,2,4,15,16,5,5,5,2,2,1,0,0,D
Valladolid,Elche,16,4,11,2,9,10,8,4,2,0,0,0,1,0,H
Celta,Osasuna,13,8,5,4,12,20,2,3,1,5,0,0,1,2,A
Barcelona,Almeria,27,4,13,1,14,13,9,1,2,1,0,0,0,0,H
Ath Madrid,Espanol,27,6,7,2,13,10,12,2,3,5,0,1,0,0,D
Sociedad,Valencia,9,14,4,3,11,12,1,11,2,0,1,0,1,1,D
Villarreal,Mallorca,9,7,2,5,17,16,5,2,4,6,0,0,0,1,A
Betis,Sevilla,9,22,4,6,6,20,1,4,4,5,2,1,1,0,D
Vallecano,Real Madrid,15,16,7,2,22,11,4,5,4,5,0,0,2,2,H
Elche,Girona,11,21,2,3,16,9,2,5,3,2,0,0,1,1,A
Ath Bilbao,Valladolid,19,8,6,0,20,6,10,2,3,1,0,0,1,0,H
Osasuna,Barcelona,15,9,3,3,15,6,2,5,4,4,0,2,1,0,A
Almeria,Getafe,8,11,3,3,17,8,7,6,8,4,1,0,1,0,H
Sevilla,Sociedad,6,17,3,9,9,12,2,1,2,2,2,0,1,2,A
Espanol,Villarreal,14,10,6,3,11,6,4,7,1,3,0,0,0,0,A
Mallorca,Ath Madrid,9,17,3,5,14,17,2,5,5,3,0,0,1,0,H
Vallecano,Celta,10,11,3,3,19,16,5,3,7,1,0,0,0,0,D
Valencia,Betis,15,5,7,1,12,9,5,5,1,3,0,1,0,0,H
Real Madrid,Cadiz,18,10,5,5,12,16,7,1,3,3,0,0,1,0,H
Girona,Vallecano,16,12,7,4,14,14,2,4,3,2,0,0,1,1,D
Betis,Ath Bilbao,9,10,5,0,8,17,2,6,1,4,1,0,0,0,D
Ath Madrid,Elche,18,5,4,1,14,20,3,5,3,4,1,2,0,0,H
Getafe,Mallorca,14,3,6,0,10,19,4,2,0,1,0,0,0,0,H
Cadiz,Almeria,12,18,6,9,7,14,3,2,2,0,0,0,0,1,D
Celta,Sevilla,17,7,5,5,11,13,5,6,2,4,0,1,1,0,D
Valladolid,Real Madrid,14,19,4,8,7,9,5,9,2,0,1,0,0,0,A
Barcelona,Espanol,21,4,6,1,11,15,10,2,6,7,1,1,1,0,D
Sociedad,Osasuna,9,11,2,3,10,15,3,2,1,1,0,0,1,0,H
Villarreal,Valencia,14,13,8,4,12,16,5,2,1,3,0,0,1,1,H
Elche,Celta,13,14,5,7,15,15,8,4,3,1,1,0,0,1,A
Valencia,Cadiz,11,6,2,2,14,21,13,2,5,6,0,0,0,1,A
Villarreal,Real Madrid,17,13,5,3,13,6,6,5,4,1,0,0,0,0,H
Mallorca,Valladolid,13,9,4,1,14,17,6,2,2,3,0,0,0,0,H
Espanol,Girona,12,12,6,5,13,16,5,2,3,2,0,0,0,1,D
Almeria,Sociedad,6,9,1,6,13,14,4,2,1,0,0,0,0,0,A
Vallecano,Betis,15,14,3,3,10,16,5,7,3,2,0,0,1,2,A
Sevilla,Getafe,11,11,5,2,13,16,4,4,3,3,0,0,1,0,H
Ath Madrid,Barcelona,20,10,5,2,8,16,7,4,2,3,1,1,0,1,A
Ath Bilbao,Osasuna,17,3,3,1,8,13,14,1,0,1,0,0,0,0,D
Celta,Villarreal,21,3,8,1,11,8,14,3,0,2,0,0,0,1,D
Valladolid,Vallecano,9,13,2,6,17,18,4,8,2,2,0,0,0,0,A
Girona,Sevilla,19,10,7,2,11,7,5,2,3,1,0,0,0,1,H
Osasuna,Mallorca,15,6,4,2,15,19,3,1,2,3,0,0,0,0,H
Sociedad,Ath Bilbao,11,6,5,2,20,15,4,2,5,1,0,1,2,1,H
Getafe,Espanol,10,10,2,4,20,13,5,1,2,3,0,0,1,1,A
Almeria,Ath Madrid,14,12,3,6,14,12,3,4,4,4,0,1,1,1,D
Cadiz,Elche,16,12,3,5,11,21,3,6,3,2,0,0,1,0,D
Mallorca,Celta,8,10,3,3,15,11,4,6,2,3,0,0,0,0,H
Vallecano,Sociedad,14,12,2,7,11,11,3,4,0,0,0,0,0,2,A
Espanol,Betis,8,13,2,4,18,8,7,4,3,2,0,0,1,0,H
Ath Madrid,Valladolid,18,7,8,1,12,7,4,1,1,1,0,0,3,0,H
Sevilla,Cadiz,17,4,9,1,15,14,8,1,1,4,0,1,0,0,H
Villarreal,Girona,19,8,9,1,21,15,3,2,5,5,0,1,0,0,H
Elche,Osasuna,13,8,4,4,19,9,7,2,2,1,0,0,0,1,D
Barcelona,Getafe,8,7,4,3,11,6,4,2,1,2,0,0,1,0,H
Ath Bilbao,Real Madrid,18,10,3,4,17,10,12,2,3,2,0,0,0,1,A
Valencia,Almeria,16,14,6,3,8,8,6,2,2,1,0,0,0,0,D
Almeria,Espanol,19,6,7,3,16,6,2,2,3,3,0,0,1,0,H
Cadiz,Mallorca,11,9,4,2,13,12,6,2,2,2,0,0,2,0,H
Girona,Barcelona,8,8,2,3,10,15,4,2,2,3,1,0,0,0,A
Sevilla,Elche,22,6,8,1,7,8,5,2,1,3,0,1,3,0,H
Getafe,Betis,6,13,1,2,25,12,6,1,4,2,0,0,0,0,A
Valladolid,Valencia,13,15,6,2,14,15,4,7,3,1,0,0,0,0,H
Osasuna,Ath Madrid,14,13,4,5,13,7,5,4,1,0,0,0,0,0,A
Celta,Ath Bilbao,9,5,3,0,17,19,2,5,3,2,0,0,0,0,H
Real Madrid,Sociedad,20,8,7,3,8,19,10,3,1,4,0,0,0,0,D
Villarreal,Vallecano,12,11,3,3,11,18,5,4,2,3,0,0,0,0,A
Betis,Barcelona,5,13,1,3,17,9,1,6,3,0,1,0,0,0,A
Real Madrid,Valencia,19,4,7,0,12,17,6,6,3,1,0,1,0,0,H
Ath Bilbao,Cadiz,17,15,9,3,14,12,0,3,2,1,1,0,3,1,H
Espanol,Osasuna,9,9,4,3,9,17,4,3,3,5,1,1,0,1,D
Elche,Villarreal,18,14,7,2,19,8,6,10,4,2,0,0,2,1,H
Ath Madrid,Getafe,12,9,4,1,11,18,8,0,3,5,0,0,0,0,D
Betis,Celta,15,9,7,7,11,13,5,5,2,3,1,0,2,2,A
Mallorca,Real Madrid,4,20,1,1,29,14,1,12,5,5,0,0,1,0,H
Girona,Valencia,20,8,8,4,11,10,8,4,1,4,0,0,0,0,H
Sociedad,Valladolid,15,7,4,2,17,14,0,4,4,5,0,0,0,0,A
Barcelona,Sevilla,16,3,7,1,8,10,8,3,0,2,0,0,0,0,H
Vallecano,Almeria,15,14,11,5,16,9,3,7,3,3,0,0,0,0,H
Cadiz,Girona,12,7,3,1,17,11,5,6,4,4,0,0,2,0,H
Almeria,Betis,16,12,9,7,12,10,8,2,2,3,0,0,1,2,A
Sevilla,Mallorca,15,6,6,0,9,14,8,2,5,2,0,0,2,0,H
Valencia,Ath Bilbao,18,11,8,3,11,17,7,1,2,2,0,0,1,1,A
Getafe,Vallecano,13,19,4,4,21,19,5,6,4,4,1,0,0,1,D
Celta,Ath Madrid,14,10,3,2,10,13,7,5,2,2,0,1,0,0,A
Valladolid,Osasuna,18,15,5,4,13,16,10,4,1,3,0,0,0,0,D
Villarreal,Barcelona,11,7,2,4,22,18,6,2,4,4,0,0,0,1,A
Espanol,Sociedad,10,11,6,5,9,17,4,3,4,1,1,0,0,1,A
Real Madrid,Elche,26,7,13,0,5,13,6,4,1,3,0,0,3,0,H
Girona,Almeria,14,16,8,4,10,8,1,7,1,1,0,0,4,0,H
Sociedad,Celta,9,18,3,4,14,12,3,7,3,5,0,1,1,0,D
Betis,Valladolid,16,17,10,3,18,15,4,6,3,5,0,0,2,1,H
Mallorca,Villarreal,13,8,5,4,19,8,4,4,5,0,0,1,2,1,H
Osasuna,Real Madrid,11,11,4,6,17,7,5,5,3,2,0,0,0,0,A
Elche,Espanol,19,11,5,4,11,12,10,5,2,3,1,0,0,0,A
Vallecano,Sevilla,18,7,5,2,15,6,7,3,4,1,0,0,0,1,D
Ath Madrid,Ath Bilbao,17,8,5,2,7,13,6,5,2,3,0,0,0,0,H
Barcelona,Cadiz,16,14,5,4,15,18,5,6,2,3,0,0,2,0,H
Getafe,Valencia,15,8,6,3,11,8,4,5,6,1,0,0,0,0,H
Elche,Betis,4,21,2,9,16,9,3,3,4,1,2,0,2,0,A
Espanol,Mallorca,9,15,3,4,15,18,0,4,2,2,0,0,1,1,H
Cadiz,Vallecano,5,11,3,2,19,19,4,6,3,4,0,1,0,0,H
Real Madrid,Ath Madrid,18,7,7,2,10,8,7,4,3,3,0,1,0,0,D
Valencia,Sociedad,8,11,3,3,13,12,7,8,6,3,0,0,1,0,H
Ath Bilbao,Girona,17,8,3,4,17,8,11,3,5,5,0,0,1,3,A
Celta,Valladolid,18,6,4,3,6,5,5,4,1,3,0,1,2,0,H
Almeria,Barcelona,7,14,4,1,13,11,4,7,3,3,0,0,1,0,H
Sevilla,Osasuna,22,11,8,4,10,15,10,2,4,2,1,0,0,1,A
Villarreal,Getafe,11,8,5,3,9,13,6,6,0,1,0,0,1,1,H
Sociedad,Cadiz,15,6,3,2,18,18,4,0,0,1,0,0,0,0,D
Getafe,Girona,10,9,6,7,24,11,3,3,5,4,0,0,3,0,H
Almeria,Villarreal,6,16,0,6,11,10,2,10,2,4,0,0,0,0,A
Mallorca,Elche,14,15,3,6,17,14,6,7,3,3,0,0,0,0,A
Ath Madrid,Sevilla,18,8,8,1,12,11,7,3,1,4,0,1,2,1,H
Valladolid,Espanol,15,12,5,2,4,11,9,6,3,2,0,0,1,0,H
Barcelona,Valencia,13,13,4,1,11,13,5,2,0,0,1,0,1,0,H
Vallecano,Ath Bilbao,18,16,2,3,9,17,7,9,1,0,0,1,0,0,D
Betis,Real Madrid,8,15,4,5,12,13,5,3,3,4,0,0,0,0,D
