HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Las Palmas,Espanol,10,9,4,2,9,16,2,2,4,2,0,0,0,0,H
Leganes,Villarreal,5,18,3,9,17,15,1,5,1,2,2,0,2,2,A
Betis,Vallecano,14,10,5,4,9,14,5,5,0,4,0,0,1,0,D
Valencia,Real Madrid,8,17,5,5,16,9,2,5,2,3,0,1,1,0,A
Vallecano,Celta,8,23,5,7,18,9,3,3,2,3,0,1,1,1,H
Alaves,Girona,11,3,2,1,16,11,6,3,1,4,0,0,0,0,A
Valladolid,Betis,12,14,1,3,21,10,1,8,2,4,0,0,0,0,H
Espanol,Leganes,15,14,5,6,15,19,8,4,2,2,0,1,1,1,D
Sevilla,Valencia,15,5,5,1,16,8,10,1,1,2,0,0,0,0,D
Las Palmas,Getafe,15,12,7,3,14,17,4,5,2,3,0,0,0,0,A
Ath Madrid,Osasuna,9,6,5,1,8,14,4,0,2,0,0,0,0,0,H
Sociedad,Villarreal,6,15,3,5,17,6,3,7,4,2,0,0,0,0,H
Espanol,Valladolid,12,11,4,4,13,16,1,7,2,2,0,0,1,0,H
Girona,Sevilla,7,14,4,6,6,15,7,4,0,4,0,0,1,0,A
Leganes,Ath Madrid,9,19,3,4,16,6,2,9,1,3,0,0,0,0,H
Betis,Alaves,7,9,2,5,12,24,2,3,4,5,1,0,1,1,A
Getafe,Barcelona,10,21,4,5,9,9,2,10,3,2,0,0,1,1,D
Celta,Ath Bilbao,3,14,1,6,14,6,3,4,0,0,0,0,0,0,A
Real Madrid,Las Palmas,26,6,13,2,11,13,8,2,0,1,0,1,3,1,H
Osasuna,Vallecano,12,8,3,3,9,13,6,3,3,2,0,0,0,1,D
Valencia,Sociedad,7,9,2,3,10,12,4,7,3,4,0,0,1,0,H
Villarreal,Mallorca,14,9,7,2,9,12,6,5,1,3,0,0,4,0,H
Las Palmas,Osasuna,16,16,7,4,14,17,4,2,7,8,1,0,0,0,D
Mallorca,Betis,16,8,3,3,12,18,4,4,2,2,1,0,0,0,A
Ath Madrid,Villarreal,20,11,8,1,10,14,5,6,4,2,0,0,0,1,D
Sevilla,Espanol,25,6,4,1,13,14,5,1,1,4,0,0,0,1,D
Valladolid,Real Madrid,6,20,2,4,11,12,1,7,3,3,1,0,0,1,A
Vallecano,Girona,17,12,7,5,19,9,4,1,3,1,0,0,0,0,H
Sociedad,Getafe,13,13,4,4,11,15,5,2,3,6,0,0,0,0,A
Ath Bilbao,Leganes,29,5,3,2,10,8,16,1,1,1,0,0,0,0,D
Barcelona,Valencia,22,7,11,2,10,12,14,4,0,1,0,0,5,0,H
Alaves,Celta,3,5,1,2,15,14,3,4,2,3,0,0,1,0,D
Leganes,Vallecano,5,19,1,3,7,19,2,9,2,4,1,0,0,0,A
Getafe,Sevilla,7,13,1,1,15,12,6,5,4,6,0,0,0,0,D
Villarreal,Valladolid,22,8,8,2,9,14,3,6,1,2,0,0,1,0,H
Ath Madrid,Mallorca,17,10,5,1,9,14,10,4,2,3,0,0,1,0,H
Espanol,Real Madrid,5,21,2,7,14,3,1,8,2,0,0,0,0,0,H
Barcelona,Alaves,11,3,4,0,8,20,5,2,5,2,0,0,0,0,H
Valencia,Celta,8,3,5,2,9,17,5,2,1,2,0,0,1,0,H
Osasuna,Sociedad,11,13,4,3,10,8,3,5,3,3,0,0,1,0,H
Betis,Ath Bilbao,10,12,6,4,10,20,3,7,3,1,0,0,2,1,D
Girona,Las Palmas,12,10,4,2,12,12,11,3,2,2,0,0,1,0,H
Vallecano,Valladolid,20,8,6,3,11,15,4,2,2,2,0,0,0,0,H
Celta,Betis,14,12,6,5,11,11,4,7,3,5,0,0,0,2,H
Ath Bilbao,Girona,23,3,8,1,7,12,11,2,0,4,0,0,2,0,H
Las Palmas,Villarreal,20,9,4,4,12,12,6,5,6,3,0,0,0,0,A
Real Madrid,Ath Madrid,23,10,9,1,14,13,6,1,1,3,0,0,0,1,D
Alaves,Getafe,12,4,4,3,16,16,8,3,2,6,0,0,0,1,A
Valencia,Leganes,18,12,4,4,14,9,9,3,1,1,0,0,2,0,H
Sociedad,Espanol,13,4,3,1,11,17,6,0,1,2,0,0,1,0,H
Sevilla,Barcelona,8,10,4,6,14,6,5,6,5,2,0,1,1,1,A
Mallorca,Osasuna,10,19,2,4,7,11,7,11,1,4,0,0,0,0,D
Girona,Getafe,14,10,4,6,11,23,3,3,2,3,1,0,0,1,A
Leganes,Alaves,8,16,3,7,18,15,3,2,4,5,1,0,2,1,D
Osasuna,Real Madrid,11,17,4,6,16,7,6,2,3,1,0,1,0,1,D
Ath Madrid,Celta,9,11,3,4,8,18,2,7,3,5,1,0,0,0,D
Villarreal,Valencia,13,12,4,3,6,17,4,5,0,5,0,0,1,0,D
Espanol,Ath Bilbao,12,14,4,4,12,8,2,7,1,1,0,0,0,0,D
Valladolid,Sevilla,7,11,2,6,11,10,3,2,4,2,0,0,0,2,A
Mallorca,Las Palmas,14,9,5,4,7,13,3,5,1,4,0,0,3,0,H
Betis,Sociedad,24,5,8,1,9,15,5,5,0,2,0,2,0,0,H
Barcelona,Vallecano,14,9,5,4,11,9,4,5,2,3,0,0,1,0,H
Celta,Osasuna,12,18,5,1,11,13,5,4,1,0,0,0,0,0,H
Alaves,Espanol,15,9,5,2,13,17,7,0,2,2,0,0,0,0,A
